PPD_D1,heading
Wt,471.9249999
Wt,483.0624999
Wt,475.1999999
Wt,489.3999999
Wt,480.9874999
Wt,496.7249999
Wt,536.0624999
Wt,566.7999999
Wt,494.3124999
Wt,519.9374999
Wt,560.3999999
Wt,486.0999999
Wt,550.9499999
Wt,489.3999999
Wt,477.0374999
Wt,489.1999999
TMIC,498.2749999
Wt,510.0749999
Wt,515.3749999
Wt,548.5499999
Wt,537.2249999
Wt,494.3124999
Wt,477.0374999
Wt,501.1999999
Wt,508.0874999
Wt,523.2624999
Wt,535.4749999
Wt,491.1749999
CSTC,553.1874999
Wt,557.0874999
Wt,491.0124999
Wt,562.5499999
Wt,518.6999999
Wt,503.1749999
Wt,514.0124999
Wt,552.3624999
TMIC,566.7999999
Wt,542.6999999
Wt,554.5124999
CSTC,522.3124999
Wt,489.3999999
Wt,489.1999999
Wt,544.8374999
Wt,553.3749999
Wt,489.3999999
Wt,502.9749999
Wt,575.9124999
Wt,494.3124999
Wt,563.9624999
Wt,493.1624999
Wt,526.5999999
Wt,537.4374999
Wt,546.3124999
Wt,524.4874999
Wt,520.2874999
Wt,596.0124999
Wt,561.8249999
Wt,534.7374999
Wt,484.2874999
Wt,515.0249999
Wt,449.4124999
Wt,562.5499999
Wt,542.3499999
Wt,610.9374999
Wt,575.4374999
Wt,534.7999999
Wt,530.8374999
Wt,563.9624999
Wt,523.8999999
Wt,580.0624999
CSTC,571.5249999
Wt,517.0124999
Wt,567.2749999
Wt,571.6124999
Wt,506.9374999
Wt,503.1749999
Wt,538.6999999
TMIC,535.4749999
TMIC,469.7624999
TMIC,474.8749999
Wt,475.1999999
Wt,449.4124999
Wt,582.1999999
Wt,567.2749999
Wt,567.2749999
Wt,444.0249999
Wt,455.9624999
CSTC,435.5874999
Wt,480.3124999
Wt,473.7374999
CSTC,480.9874999
TMIC,484.2874999
Wt,503.1749999
Wt,505.0874999
Wt,553.1249999
Wt,548.7999999
Wt,480.9874999
Wt,464.6499999
Wt,489.3999999
Wt,499.2249999
Wt,489.3999999
TMIC,464.6499999
Wt,484.2874999
Wt,496.2874999
Wt,519.6499999
Wt,488.1749999
Wt,503.1749999
Wt,508.4124999
Wt,538.0624999
Wt,519.9374999
Wt,489.1999999
Wt,496.2874999
Wt,486.0624999
Wt,504.6437499
Wt,508.1374999
Wt,518.0749999
Wt,480.9874999
Wt,484.2874999
Wt,484.2874999
Wt,479.1749999
Wt,498.2749999
Wt,523.8999999
Wt,489.1999999
Wt,543.4874999
Wt,516.9624999
Wt,571.0874999
Wt,560.3999999
Wt,489.3999999
Wt,545.5999999
Wt,531.3249999
Wt,503.1749999
Wt,567.2749999
Wt,481.9499999
Wt,484.2874999
Wt,560.3999999
CSTC,536.5874999
Wt,596.1624999
Wt,532.4999999
Wt,480.3124999
Wt,477.0124999
Wt,452.7124999
Wt,470.4374999
Wt,549.5624999
Wt,553.5249999
Wt,523.2624999
Wt,483.2874999
Wt,567.2749999
Wt,479.1124999
Wt,553.5249999
Wt,519.6624999
Wt,512.9999999
TMIC,475.1999999
Wt,477.6874999
Wt,482.7999999
Wt,489.3999999
TMIC,479.1749999
Wt,494.3124999
Wt,581.4749999
Wt,473.7374999
Wt,484.2874999
Wt,504.9999999
Wt,498.0624999
CSTC,491.1749999
Wt,525.9374999
Wt,489.0249999
Wt,500.1749999
Wt,546.5624999
Wt,527.2249999
Wt,456.3874999
Wt,471.2249999
Wt,480.3124999
Wt,452.6874999
TMIC,479.1749999
Wt,440.7499999
TMIC,441.4374999
Wt,484.2874999
Wt,479.1749999
Wt,471.9249999
Wt,542.3499999
Wt,530.3374999
Wt,571.1874999
Wt,479.1749999
Wt,609.8124999
Wt,626.7499999
Wt,571.1874999
CSTC,556.4374999
Wt,500.1749999
Wt,484.2874999
Wt,489.3999999
TMIC,484.2874999
Wt,488.1749999
Wt,480.3124999
Wt,491.1749999
Wt,467.9249999
Wt,496.2874999
TMIC,468.5999999
CSTC,496.2874999
